"","V1","V2","V3"
"98",257.962,208.085,1
"99",260.626,210.016,1
"100",264.383,201.5,1
"101",265.424,194.869,1
"102",267.976,208.111,1
"103",272.218,187.568,1
"104",275.199,196.881,1
"105",281.512,193.436,1
"106",282.56,198.533,1
"107",283.104,202.56,1
"108",284.464,215.55,1
"109",286.95,198.506,1
"110",288.923,213.113,1
"111",289.933,208.837,1
"112",290.501,200.067,1
"113",292.782,209.527,1
"114",295.307,185.377,1
"115",296.686,208.971,1
"116",300.462,210.472,1
"117",301.987,213.201,1
"118",303.553,213.944,1
"119",13.354,264.529,2
"120",16.103,255.247,2
"121",17.339,249.372,2
"122",18.137,258.655,2
"123",19.608,265.248,2
"124",21.247,262.794,2
"125",22.098,281.747,2
"126",22.758,242.831,2
"127",23.345,251.326,2
"128",23.635,245.377,2
"129",24.691,273.256,2
"130",26.117,244.136,2
"131",27.203,257.622,2
"132",28.94,244.752,2
"133",29.936,234.543,2
"134",30.809,233.232,2
"135",31.169,284.702,2
"136",32.489,266.777,2
"137",32.93,271.838,2
"138",33.591,283.933,2
"139",33.773,281.922,2
"140",34.513,276.181,2
"141",34.652,252.158,2
"142",35.524,243.571,2
"143",35.876,243.583,2
"144",37.343,233.625,2
"145",38.62,246.751,2
"146",40.455,255.385,2
"147",41.524,284.287,2
"148",42.817,248.056,2
"149",44.067,281.238,2
"150",45.476,271.387,2
"151",46.187,286.244,2
"152",47.739,252.702,2
"153",48.338,258.763,2
"154",48.994,234.513,2
"155",49.857,253.511,2
"156",50.245,237.932,2
"157",50.976,267.189,2
"158",51.328,270.145,2
"159",51.66,262.632,2
"160",53.837,292.781,2
"161",54.617,291.696,2
"162",54.983,230.195,2
"163",55.211,290.125,2
"164",56.785,252.76,2
"165",58.204,276.242,2
"166",59.035,272.023,2
"167",59.624,282.485,2
"168",60.396,231.942,2
"169",61.014,242.437,2
"170",61.448,245.848,2
"171",62.185,263.182,2
"172",62.725,245.593,2
"173",63.76,274.755,2
"174",64.487,237.96,2
"175",64.713,252.737,2
"176",65.05,227.462,2
"177",65.823,290.489,2
"178",66.296,267.64,2
"179",67.832,281.385,2
"180",68.888,226.002,2
"181",69.967,246.5,2
"182",70.286,260.492,2
"183",71.834,228.468,2
"184",72.206,243.232,2
"185",72.789,287.178,2
"186",73.157,293.775,2
"187",73.85,264.688,2
"188",74.708,264.807,2
"189",75.394,254.897,2
"190",76.311,243.142,2
"191",76.972,287.451,2
"192",77.989,230.004,2
"193",78.233,266.766,2
"194",78.502,237.794,2
"195",79.202,287.122,2
"196",79.272,242.156,2
"197",79.722,264.361,2
"198",80.199,298.082,2
"199",81.069,261.888,2
"200",81.534,276.974,2
"201",81.913,237.585,2
"202",83.034,247.402,2
"203",83.679,240.902,2
"204",83.855,297.607,2
"205",84.888,253.396,2
"206",85.499,236.795,2
"207",86.941,232.489,2
"208",87.406,299.783,2
"209",88.392,237.048,2
"210",88.701,250.651,2
"211",88.982,299.489,2
"212",89.319,226.7,2
"213",90.41,257.448,2
"214",90.58,231.072,2
"215",91.23,262.604,2
"216",92.209,222.15,2
"217",92.786,227.418,2
"218",93.554,293.737,2
"219",93.768,293.591,2
"220",94.697,258.708,2
"221",95.536,237.686,2
"222",96.182,228.088,2
"223",96.715,223.257,2
"224",97.527,273.821,2
"225",97.685,278.438,2
"226",98.38,284.748,2
"227",99.108,296.813,2
"228",99.767,224.9,2
"229",100.165,222.073,2
"230",100.778,278.911,2
"231",101.931,266.622,2
"232",102.84,240.178,2
"233",103.131,239.699,2
"234",103.347,251.559,2
"235",103.919,268.385,2
"236",104.593,279.342,2
"237",104.851,266.407,2
"238",105.187,268.4,2
"239",105.396,267.244,2
"240",105.877,248.509,2
"241",106.187,280.048,2
"242",106.267,221.253,2
"243",106.699,250.833,2
"244",107.251,233.71,2
"245",107.427,264.254,2
"246",107.743,239.853,2
"247",108.98,262.284,2
"248",109.713,272.873,2
"249",109.967,298.248,2
"250",110.534,224.346,2
"251",110.823,229.572,2
"252",111.309,226.288,2
"253",111.731,278.228,2
"254",113.107,268.624,2
"255",113.726,289.755,2
"256",113.971,233.849,2
"257",114.502,226.788,2
"258",114.867,299.812,2
"259",115.386,274.375,2
"260",116.25,285.816,2
"261",116.901,239.932,2
"262",117.588,279.468,2
"263",117.808,296.526,2
"264",117.991,296.388,2
"265",118.793,226.169,2
"266",119.412,292.521,2
"267",119.916,279.182,2
"268",120.435,281.88,2
"269",121.329,271.627,2
"270",122.254,274.67,2
"271",122.962,272.851,2
"272",123.476,263.763,2
"273",123.817,290.177,2
"274",124.895,225.312,2
"275",125.876,237.528,2
"276",126.299,248.847,2
"277",127.881,277.424,2
"278",128.782,258.494,2
"279",129.474,259.443,2
"280",129.986,263.765,2
"281",130.248,254.418,2
"282",130.953,288.629,2
"283",132.874,236.928,2
"284",133.637,287.142,2
"285",134.173,262.139,2
"286",135.02,242.398,2
"287",135.631,288.789,2
"288",136.99,279.42,2
"289",137.468,248.605,2
"290",138.208,250.879,2
"291",139.394,251.962,2
"292",140.295,288.066,2
"293",140.989,255.222,2
"294",141.315,270.173,2
"295",141.852,235.406,2
"296",142.609,245.018,2
"297",143.009,238.399,2
"298",143.719,276.511,2
"299",144.26,231.112,2
"300",145.175,256.033,2
"301",145.439,275.743,2
"302",145.89,252.356,2
"303",146.859,269.907,2
"304",147.058,258.492,2
"305",147.155,235.835,2
"306",147.203,236.173,2
"307",148.38,258.14,2
"308",149.106,257.056,2
"309",149.431,255.84,2
"310",150.654,287.67,2
"311",151.7,255.743,2
"312",152.675,261.621,2
"313",153.978,271.106,2
"314",155.048,286.331,2
"315",156.319,265.01,2
"316",157.05,285.03,2
"317",158.213,278.882,2
"318",158.962,243.196,2
"319",161.138,237.596,2
"320",161.646,243.994,2
"321",163.331,280.859,2
"322",164.213,281.869,2
"323",164.773,282.94,2
"324",165.059,242.019,2
"325",165.281,280.402,2
"326",166.042,248.031,2
"327",167.623,242.272,2
"328",168.128,276.198,2
"329",168.464,268.973,2
"330",169.483,267.895,2
"331",170.249,249.485,2
"332",170.979,273.265,2
"333",171.513,253.62,2
"334",171.783,269.142,2
"335",172.844,257.272,2
"336",173.952,265.78,2
"337",174.138,270.815,2
"338",175.856,272.269,2
"339",177.18,255.497,2
"340",177.257,264.482,2
"341",178.95,243.888,2
"342",181.542,281.885,2
"343",182.722,251.107,2
"344",183.453,267.579,2
"345",184.185,246.987,2
"346",185.341,270.505,2
"347",186.511,242.978,2
"348",188.91,241.019,2
"349",191.666,243.181,2
"350",192.627,275.928,2
"351",194.441,269.436,2
"352",195.761,262.548,2
"353",196.945,247.552,2
"354",197.076,274.643,2
"355",198.511,272.877,2
"356",200.067,270.562,2
"357",200.776,269.116,2
"358",202.842,259.868,2
"359",203.896,244.526,2
"360",204.787,250.219,2
"361",205.469,248.346,2
"362",208.056,258.037,2
"363",208.684,259.333,2
"364",210.158,265.929,2
"365",210.741,245.633,2
"366",213.053,239.042,2
"367",213.685,254.623,2
"368",214.879,253.977,2
"369",216.027,264.996,2
"370",217.35,266.199,2
"371",218.58,255.904,2
"372",218.852,243.589,2
"373",219.705,242.826,2
"374",221.495,236.117,2
"375",223.711,242.644,2
"376",224.354,259.331,2
"377",225.566,248.478,2
"378",229.354,237.398,2
"379",233.129,236.923,2
"380",233.311,258.28,2
"381",234.903,256.115,2
"382",236.158,240.551,2
"383",237.976,253.329,2
"384",239.34,251.177,2
"385",240.348,244.397,2
"386",243.132,254.789,2
"387",243.505,248.39,2
"388",244.731,247.555,2
"389",245.48,255.893,2
"390",247.504,258.892,2
"391",249.927,234.034,2
"392",251.727,260.918,2
"393",252.992,248.801,2
"394",254.104,251.732,2
"395",255.41,243.183,2
"396",258.885,236.008,2
"397",260.153,258.965,2
"398",261.686,253.904,2
"399",264.961,245.82,2
"400",267.765,254.765,2
"401",271.931,253.244,2
"402",272.186,246.484,2
"403",273.159,248.205,2
"404",274.679,256.092,2
"405",276.12,238.06,2
"406",277.313,240.625,2
"407",278.117,262.051,2
"408",280.711,258.076,2
"409",281.716,246.601,2
"410",281.94,236.785,2
"411",282.711,249.692,2
"412",283.115,263.584,2
"413",283.983,257.348,2
"414",284.543,263.316,2
"415",287.046,262.162,2
"416",288.927,260.541,2
"417",289.315,255.218,2
"418",289.943,250.361,2
"419",291.608,267.339,2
"420",291.955,267.281,2
"421",292.398,252.325,2
"422",293.017,255.158,2
"423",295.004,260.365,2
"424",296.183,237.238,2
"425",297.623,252.161,2
"426",298.424,264.142,2
"427",299.807,263.045,2
"428",300.557,269.025,2
"429",304.204,271.556,2
"430",307.425,274.677,2
"431",308.161,273.136,2
"432",308.928,247.987,2
"433",310.057,251.42,2
"434",313.136,266.045,2
"435",313.672,247.666,2
"436",314.848,254.205,2
"437",317.095,273.844,2
"438",318.449,266.77,2
"439",318.858,277.693,2
"440",320.149,245.128,2
"441",320.88,254.928,2
"442",321.587,243.537,2
"443",323.345,257.64,2
"444",324.518,243.11,2
"445",325.259,254.743,2
"446",326.596,254.017,2
"447",327.833,249.55,2
"448",328.233,263.65,2
"449",329.356,264.379,2
"450",331.098,264.241,2
"451",333.338,276.376,2
"452",334.236,263.988,2
"453",335.585,269.761,2
"454",336.776,245.851,2
"455",337.25,243.518,2
"456",338.656,262.053,2
"457",339.143,237.759,2
"458",340.372,273.623,2
"459",341.517,282.249,2
"460",342.655,280.406,2
"461",343.522,269.317,2
"462",344.314,252.462,2
"463",344.967,243.995,2
"464",347.038,255.476,2
"465",347.652,285.927,2
"466",348.419,273.871,2
"467",348.735,244.499,2
"468",349.448,246.822,2
"469",349.757,286.903,2
"470",349.886,271.844,2
"471",351.663,274.561,2
"472",352.21,235.047,2
"473",352.711,252.672,2
"474",354.288,235.336,2
"475",354.766,253.537,2
"476",356.356,250.344,2
"477",356.632,270.577,2
"478",357.71,243.756,2
"479",358.554,270.689,2
"480",358.852,276.35,2
"481",360.086,259.86,2
"482",360.788,271.746,2
"483",362.224,276.787,2
"484",362.946,254.075,2
"485",363.594,272.175,2
"486",363.749,296.325,2
"487",364.26,266.056,2
"488",365.446,264.773,2
"489",365.78,289.731,2
"490",367.157,276.706,2
"491",367.698,278.978,2
"492",368.132,265.631,2
"493",368.667,235.202,2
"494",369.802,277.56,2
"495",370.829,225.197,2
"496",372.405,228.113,2
"497",373.835,270.518,2
"498",374.024,269.535,2
"499",374.702,226.626,2
"500",375.341,276.45,2
"501",376.196,241.588,2
"502",376.595,237.067,2
"503",377.026,266.93,2
"504",377.092,248.07,2
"505",377.393,220.006,2
"506",377.831,248.255,2
"507",378.371,274.317,2
"508",378.5,240.02,2
"509",379.145,225.451,2
"510",379.454,269.72,2
"511",379.639,234.918,2
"512",381.229,286.043,2
"513",381.421,267.62,2
"514",381.813,230.739,2
"515",382.338,262.01,2
"516",382.845,234.506,2
"517",383.098,241.973,2
"518",383.557,292.124,2
"519",384.073,230.751,2
"520",384.686,262.532,2
"521",385.559,291.054,2
"522",386.265,300.405,2
"523",386.731,275.618,2
"524",387.253,226.958,2
"525",387.448,226.627,2
"526",387.822,289.82,2
"527",388.107,260.38,2
"528",388.736,233.743,2
"529",388.97,291.242,2
"530",389.399,243.022,2
"531",390.715,226.094,2
"532",392.665,264.428,2
"533",393.032,288.458,2
"534",394.425,298.366,2
"535",394.91,252.065,2
"536",395.928,301.856,2
"537",396.136,276.809,2
"538",396.765,263.377,2
"539",397.189,235.132,2
"540",397.463,229.396,2
"541",397.862,259.51,2
"542",398.33,243.374,2
"543",398.63,235.251,2
"544",399.487,228.996,2
"545",400.102,245.483,2
"546",400.213,246.726,2
"547",400.6,276.768,2
"548",401.105,273.561,2
"549",401.597,254.28,2
"550",402.147,286.638,2
"551",402.891,297.832,2
"552",404.28,297.829,2
"553",404.364,291.647,2
"554",404.952,289.539,2
"555",405.164,293.44,2
"556",405.487,295.939,2
"557",405.846,282.933,2
"558",406.319,231.514,2
"559",406.818,266.06,2
"560",408.352,273.228,2
"561",409.058,243.858,2
"562",409.322,255.152,2
"563",409.623,289.933,2
"564",409.888,269.07,2
"565",410.876,287.778,2
"566",411.207,262.768,2
"567",411.46,247.458,2
"568",412.459,236.835,2
"569",413.229,275.968,2
"570",413.701,227.171,2
"571",414.651,238.275,2
"572",414.779,235.505,2
"573",415.267,261.513,2
"574",416.077,257.898,2
"575",416.318,282.917,2
"576",416.889,291.509,2
"577",417.761,268.451,2
"578",418.445,259.976,2
"579",419.217,268.525,2
"580",420.531,291.445,2
"581",420.635,232.499,2
"582",420.819,276.785,2
"583",421.354,250.434,2
"584",421.532,231.376,2
"585",421.91,293.441,2
"586",422.133,292.868,2
"587",423.156,234.235,2
"588",424.009,252.468,2
"589",424.881,241.292,2
"590",425.677,279.174,2
"591",426.503,250.416,2
"592",426.682,246.638,2
"593",427.451,233.268,2
"594",429.061,266.166,2
"595",429.557,277.432,2
"596",430.013,234.895,2
"597",430.835,247.6,2
"598",432.029,267.743,2
"599",432.396,237.085,2
"600",433.005,254.057,2
"601",433.448,245.556,2
"602",434.83,289.099,2
"603",435.734,248.008,2
"604",436.958,238.21,2
"605",437.521,286.103,2
"606",437.817,256.183,2
"607",438.218,231.246,2
"608",438.6,236.97,2
"609",439.448,240.77,2
"610",440.103,251.244,2
"611",440.686,266.626,2
"612",441.449,238.77,2
"613",441.867,233.186,2
"614",442.566,237.036,2
"615",443.651,239.602,2
"616",444.093,253.062,2
"617",445.336,273.26,2
"618",446.434,246.71,2
"619",446.862,244.73,2
"620",447.864,238.768,2
"621",449.021,240.921,2
"622",449.613,253.74,2
"623",451.683,265.286,2
"624",452.213,242.38,2
"625",453.724,258.44,2
"626",454.921,263.766,2
"627",455.359,280.24,2
"628",456.722,272.881,2
"629",457.717,265.404,2
"630",458.617,240.381,2
"631",459.11,263.377,2
"632",459.967,275.32,2
"633",460.796,266.038,2
"634",461.696,277.385,2
"635",463.472,260.844,2
"636",464.852,273.706,2
"637",466.705,261.183,2
"638",20.026,88.356,3
"639",20.925,67.44,3
"640",22.487,51.786,3
"641",22.816,79.416,3
"642",23.583,45.891,3
"643",24.731,71.788,3
"644",25.363,83.041,3
"645",25.619,35.879,3
"646",25.866,104.418,3
"647",26.267,98.659,3
"648",27.143,86.854,3
"649",27.569,63.439,3
"650",28.136,52.202,3
"651",28.708,70.1,3
"652",30.002,86.534,3
"653",30.529,50.283,3
"654",31.439,59.06,3
"655",31.778,31.64,3
"656",32.362,60.976,3
"657",33.102,42.576,3
"658",33.816,63.395,3
"659",34.528,42.59,3
"660",35.083,82.876,3
"661",35.587,35.094,3
"662",35.876,84.028,3
"663",36.332,44.874,3
"664",38.016,63.307,3
"665",38.977,101.356,3
"666",39.977,35.651,3
"667",40.739,101.634,3
"668",41.284,99.463,3
"669",41.571,70.988,3
"670",42.029,96.977,3
"671",42.703,42.245,3
"672",43.616,99.011,3
"673",44.274,97.434,3
"674",44.549,96.843,3
"675",45.227,64.844,3
"676",46.879,105.358,3
"677",47.229,41.339,3
"678",47.812,73.61,3
"679",48.172,37.776,3
"680",48.445,101.597,3
"681",48.882,96.462,3
"682",49.213,37.181,3
"683",50.837,68.983,3
"684",52.087,39.576,3
"685",52.683,97.493,3
"686",52.851,70.693,3
"687",53.586,44.759,3
"688",53.813,74.661,3
"689",54.275,39.558,3
"690",54.604,68.79,3
"691",55.701,41.258,3
"692",56.304,103.478,3
"693",56.559,48.611,3
"694",57.978,73.95,3
"695",58.987,83.099,3
"696",59.405,72.465,3
"697",60.345,84.563,3
"698",60.88,56.087,3
"699",61.323,91.239,3
"700",61.968,78.091,3
"701",62.304,41.51,3
"702",63.227,76.938,3
"703",64.075,76.453,3
"704",65.2,45.738,3
"705",65.767,74.248,3
"706",66.027,59.45,3
"707",66.414,49.308,3
"708",67.068,54.264,3
"709",67.789,33.516,3
"710",68.005,90.836,3
"711",68.44,84.09,3
"712",69.243,73.506,3
"713",69.941,67.454,3
"714",70.515,76.681,3
"715",70.619,68.005,3
"716",71.443,62.345,3
"717",72.225,73.661,3
"718",72.823,55.906,3
"719",73.081,57.281,3
"720",74.597,88.148,3
"721",74.891,92.013,3
"722",75.352,42.168,3
"723",76.402,46.526,3
"724",76.924,97.468,3
"725",77.354,42.696,3
"726",77.609,49.547,3
"727",77.998,51.452,3
"728",78.273,67.935,3
"729",78.672,81.344,3
"730",79.841,37.471,3
"731",80.276,99.507,3
"732",80.807,66.626,3
"733",81.264,37.297,3
"734",82.573,43.318,3
"735",82.845,62.738,3
"736",84.769,33.369,3
"737",84.95,46.428,3
"738",85.31,69.209,3
"739",85.528,43.019,3
"740",86.174,87.7,3
"741",87.064,45.155,3
"742",87.264,41.933,3
"743",87.621,79.009,3
"744",88.04,42.651,3
"745",88.358,83.503,3
"746",88.661,50.492,3
"747",89.681,62.352,3
"748",89.819,35.2,3
"749",90.149,80.837,3
"750",90.417,86.464,3
"751",91.178,93.144,3
"752",92.234,58.324,3
"753",93.43,69.424,3
"754",93.843,43.443,3
"755",94.526,86.049,3
"756",95.324,53.04,3
"757",95.511,60.079,3
"758",96.416,65.625,3
"759",97.569,67.92,3
"760",98.308,100.305,3
"761",99.007,36.435,3
"762",99.209,63.846,3
"763",99.495,57.019,3
"764",100.154,79.893,3
"765",101.63,77.737,3
"766",102.822,77.927,3
"767",103.06,40.985,3
"768",103.86,81.621,3
"769",104.769,81.393,3
"770",106.071,100.828,3
"771",106.567,76.381,3
"772",107.638,40.477,3
"773",108.238,49.247,3
"774",108.426,78.291,3
"775",109.009,50.542,3
"776",109.879,93.396,3
"777",111.307,36.873,3
"778",111.949,77.803,3
"779",112.188,68.448,3
"780",112.91,82.451,3
"781",113.441,72.41,3
"782",113.821,42.075,3
"783",114.246,94.967,3
"784",114.784,36.421,3
"785",115.213,73.147,3
"786",115.343,41.516,3
"787",115.8,47.128,3
"788",116.291,63.513,3
"789",116.894,38.559,3
"790",117.562,65.505,3
"791",117.75,43.494,3
"792",118.667,84.298,3
"793",119.687,80.956,3
"794",120.488,97.901,3
"795",121.28,94.189,3
"796",122.338,60.263,3
"797",123.958,88.871,3
"798",124.635,97.045,3
"799",124.823,56.081,3
"800",126.011,49.435,3
"801",126.736,61.51,3
"802",126.961,78.826,3
"803",127.27,76.188,3
"804",128.959,67.193,3
"805",129.687,75.267,3
"806",131.082,49.239,3
"807",131.513,92.707,3
"808",131.874,48.172,3
"809",132.207,70.671,3
"810",132.473,78.561,3
"811",132.883,82.874,3
"812",133.179,90.397,3
"813",133.755,93.225,3
"814",134.411,80.027,3
"815",136.888,63.247,3
"816",137.557,82.487,3
"817",138.322,52.055,3
"818",139.097,88.59,3
"819",139.247,52.484,3
"820",139.864,81.763,3
"821",140.329,90.265,3
"822",140.81,52.179,3
"823",141.162,61.581,3
"824",141.492,92.94,3
"825",142.308,63.537,3
"826",143.042,57.887,3
"827",144.075,50.124,3
"828",145.616,70.385,3
"829",146.775,77.422,3
"830",147.703,84.201,3
"831",148.922,42.972,3
"832",149.038,75.295,3
"833",149.587,42.701,3
"834",149.917,59.291,3
"835",152.073,43.234,3
"836",152.474,95.42,3
"837",152.883,71.206,3
"838",153.719,87.626,3
"839",154.131,96.51,3
"840",154.392,46.112,3
"841",154.686,39.223,3
"842",155.18,69.093,3
"843",156.204,81.21,3
"844",156.851,91.208,3
"845",157.62,88.902,3
"846",158.011,88.12,3
"847",158.285,88.965,3
"848",158.606,42.57,3
"849",161.177,77.037,3
"850",161.465,71.657,3
"851",162.31,89.163,3
"852",163.53,88.975,3
"853",163.767,65.833,3
"854",165.344,62.451,3
"855",167.697,82.038,3
"856",168.233,60.035,3
"857",168.664,54.343,3
"858",169.22,83.732,3
"859",170.695,75.392,3
"860",170.993,67.087,3
"861",171.253,69.994,3
"862",171.6,72.319,3
"863",172.086,54.77,3
"864",174.307,63.59,3
"865",174.961,51.181,3
"866",175.306,57.132,3
"867",175.675,85.154,3
"868",176.225,60.676,3
"869",177.422,48.042,3
"870",178.532,38.528,3
"871",179.289,38.267,3
"872",180.322,61.561,3
"873",182.166,40.855,3
"874",182.69,50.331,3
"875",183.39,85.896,3
"876",183.61,68.512,3
"877",184.591,76.374,3
"878",185.472,74.38,3
"879",185.61,77.854,3
"880",185.938,60.224,3
"881",186.136,61.699,3
"882",186.442,64.75,3
"883",186.704,91.046,3
"884",187.69,62.835,3
"885",187.95,91.721,3
"886",188.717,59.453,3
"887",189.725,55.706,3
"888",190.862,47.475,3
"889",191.617,93.426,3
"890",192.774,57.081,3
"891",193.39,69.729,3
"892",194.738,88.856,3
"893",194.948,85.251,3
"894",196.382,61.135,3
"895",197.382,91.451,3
"896",198.151,70.459,3
"897",198.896,92.014,3
"898",199.346,45.374,3
"899",200.184,90.579,3
"900",200.288,71.313,3
"901",201.004,94.303,3
"902",202.27,44.882,3
"903",203.374,66.095,3
"904",205.069,75.118,3
"905",205.719,50.086,3
"906",206.605,39.759,3
"907",207.196,44.224,3
"908",208.581,88.991,3
"909",209.378,74.42,3
"910",210.508,66.553,3
"911",211.211,87.259,3
"912",212.047,62.406,3
"913",213.648,56.196,3
"914",214.136,52.492,3
"915",215.333,62.461,3
"916",215.711,51.128,3
"917",216.664,89.533,3
"918",216.957,58.002,3
"919",217.56,89.709,3
"920",218.142,62.487,3
"921",218.712,62.188,3
"922",219.774,43.489,3
"923",220.216,86.898,3
"924",220.599,79.91,3
"925",222.071,52.333,3
"926",223.48,72.01,3
"927",224.339,72.518,3
"928",225.532,41.204,3
"929",226.199,90.138,3
"930",226.773,53.108,3
"931",227.091,49.349,3
"932",229.049,72.15,3
"933",229.812,56.575,3
"934",230.128,74.606,3
"935",232.164,81.685,3
"936",233.352,61.882,3
"937",234.184,72.322,3
"938",234.561,68.49,3
"939",235.12,63.464,3
"940",236.365,58.842,3
"941",237.963,43.493,3
"942",239.496,52.424,3
"943",240.379,79.313,3
"944",241.285,56.515,3
"945",242.707,86.626,3
"946",243.848,73.486,3
"947",244.328,50.502,3
"948",245.503,58.238,3
"949",247.604,88.236,3
"950",249.017,75.836,3
"951",249.916,41.877,3
"952",250.626,76.032,3
"953",251.214,75.53,3
"954",252.941,78.521,3
"955",256.725,44.221,3
"956",257.692,79.27,3
"957",258.448,43.265,3
"958",259.4,60.697,3
"959",260.526,64.885,3
"960",260.949,61.861,3
"961",262.137,65.716,3
"962",263.49,68.789,3
"963",264.564,83.02,3
"964",265.939,85.714,3
"965",267.149,71.208,3
"966",267.577,64.794,3
"967",268.566,64.402,3
"968",268.832,62.947,3
"969",270.193,61.842,3
"970",270.907,75.431,3
"971",272.251,76.767,3
"972",274.057,57.467,3
"973",274.713,56.921,3
"974",275.826,85.578,3
"975",276.736,55.24,3
"976",276.994,50.804,3
"977",278.203,44.936,3
"978",278.654,80.64,3
"979",279.981,85.693,3
"980",280.538,46.481,3
"981",281.017,46.503,3
"982",281.581,52.053,3
"983",281.775,56.956,3
"984",282.448,83.449,3
"985",284.784,85.639,3
"986",285.346,84.195,3
"987",285.816,83.059,3
"988",286.705,87.379,3
"989",287.922,68.7,3
"990",288.775,55.605,3
"991",290.721,72.844,3
"992",291.944,48.623,3
"993",293.111,66.996,3
"994",295.278,57.284,3
"995",297.164,81.626,3
"996",297.622,77.822,3
"997",300.619,54.293,3
"998",301.24,67.744,3
"999",302.009,45.413,3
"1000",302.212,71.154,3
"1001",303.245,71.639,3
"1002",304.637,46.342,3
"1003",305.991,68.517,3
"1004",307.776,63.824,3
"1005",308.773,64.917,3
"1006",309.122,66.194,3
"1007",310.161,77.431,3
"1008",311.262,80.928,3
"1009",312.144,76.836,3
"1010",312.881,78.538,3
"1011",314.322,61.281,3
"1012",315.441,46.009,3
"1013",316.111,67.115,3
"1014",318.039,67.135,3
"1015",320.769,74.333,3
"1016",322.16,78.744,3
"1017",323.978,50.357,3
"1018",326.427,72.615,3
"1019",327.47,59.251,3
"1020",328.444,61.955,3
"1021",329.155,45.002,3
"1022",330.036,80.932,3
"1023",331.706,48.948,3
"1024",334.272,46.132,3
"1025",335.207,50.155,3
"1026",336.559,52.831,3
"1027",337.243,55.359,3
"1028",338.274,74.516,3
"1029",339.262,48.903,3
"1030",340.858,74.988,3
"1031",341.722,79.242,3
"1032",342.302,67.469,3
"1033",343.49,81.079,3
"1034",344.244,49.789,3
"1035",346.019,48.244,3
"1036",347.603,67.166,3
"1037",348.298,63.024,3
"1038",349.743,76.385,3
"1039",350.902,48.533,3
"1040",351.801,78.05,3
"1041",352.975,72.493,3
"1042",354.22,70.427,3
"1043",355.118,71.092,3
"1044",356.428,78.265,3
"1045",357.412,70.52,3
"1046",357.851,57.674,3
"1047",361.262,61.678,3
"1048",362.116,74.956,3
"1049",363.833,69.576,3
"1050",364.162,50.608,3
"1051",365.168,70.519,3
"1052",366.817,79.558,3
"1053",367.494,63.749,3
"1054",368.624,70.051,3
"1055",369.742,53.672,3
"1056",370.865,76.36,3
"1057",371.122,77.172,3
"1058",371.939,70.299,3
"1059",372.808,54.15,3
"1060",373.894,74.103,3
"1061",375.607,75.367,3
"1062",375.795,64.978,3
"1063",378.162,76.049,3
"1064",379.772,73.963,3
"1065",381.339,78.152,3
"1066",381.711,64.804,3
"1067",384.332,69.501,3
"1068",386.181,48.463,3
"1069",387.533,49.403,3
